label,text
driver,qayerdan qayerga narx ayting
passenger,taksi kere buxoro toshkent 2ta
driver,pochta olamiz namangan toshkent
passenger,samarqandga ertaga soat 6 da taksi kerak
passenger,tshk -> bux 2 yo'lovchi
spam,http://bit.ly/sale bu yerda super taklif
spam,доставка по городу скидка
spam,https://t.me/joinchat/AAAA test kanal
driver,йурамиз оламиз почта хам
driver,zakaz bor mi vizov olaman
passenger,такси керак тошкентдан самаркандга 2 киши
spam,sotaman laptop ideal holatda
spam,рассрочка без переплат пишите
driver,yo'lovchi olamiz bugun kechasi
spam,vakansiya ishga taklif qilamiz
driver,zakaz olaman tshk sam
driver,samarqandga 1 ta odam kam
spam,kanalga obuna bo'ling t.me/super_reklama
spam,youtube kanalimizga obuna
passenger,menga taksi kerak navoiydan qarshiga
passenger,termezdan samarkandga boraman 1 odam
driver,олиб кетаман тошкентга жой бор
spam,skidka faqat bugun obuna bo'ling
passenger,toshkentga ketaman 3 kishi bor taksi kerak
spam,kredit 0% dastlabki to'lovsiz
spam,reklama beramiz arzon narxda
spam,vakansiya menedjer kerak oylik yuqori
spam,promo aksiya bugun chegirma 70%
passenger,taksi kerak chortoqdan namanganga
spam,скидка акция подпишись на канал
driver,joy bor toshkentga olib ketaman
passenger,бугун бухородан тошкентга такси керак
driver,haydovchiman kimga kerak
passenger,qarshidan buxoroga 2 odam ketadi
driver,mashina bor odam olamiz
passenger,hozir taksi kerak andijondan fargonaga
passenger,namangandan toshkentga bitta odam bor
passenger,qoqondan fargonaga taksi kerak
driver,водительман заказ оламан
spam,crypto kurs signal kanal
passenger,kim bor andijondan toshkentga 1 odam
driver,tezda chiqamiz joy bor
passenger,kechasi 23:00 da taksi kerak tshkdan gulistonga
driver,narx nechchi qayerdan olamiz
spam,reklama xizmatlari yozing
passenger,bux dan sam ga 3 kishi ketamiz
passenger,taksi kerak toshkentdan samarqandga 2 odam
spam,kanal reklama uchun admin ga yozing
driver,mesta bosh 2 ta
spam,bit.ly/fastmoney tez boyib keting
spam,joinchat orqali kirib bonus oling
driver,olib ketaman samarkandga 3 ta joy bor
driver,taksistman narx kelishamiz
driver,joy bor qoqonga chiqib ketamiz
driver,нарх неччи каярдан
driver,bagaj bor olamiz
passenger,urgenchdan nukusga taksi kerakmiz
spam,обуна бўлинг супер канал
passenger,taxi kerek tshk sam 1 kishi
driver,yuramiz olamiz samarkand bukhara
driver,voditelman joy bor 2 ta
spam,ish bor vakansiya moskva
spam,aksiya promo kod yuboring
spam,kredit online 5 minutda
spam,promo promo promo super
passenger,samdan tshkga 2ta odam
spam,sotiladi telefon arzon narxda
passenger,toshkentdan jizzaxga taksi bormi 2 odam
passenger,chorvoqdan tashkentga qaytamiz 2 kishi
passenger,срочно такси самарканд тошкент 1 человек
driver,mashinam bor buxoroga ketaman
driver,mijoz olaman toshkent viloyat
driver,odam kam 1 ta ayollar bor
passenger,bugun kechqurun buxoroga taksi kerak
passenger,fargona toshkentga ketmoqchi 1 odam
